Country,Latitude ,Longitude,Radius Distance
Saudi Arabia,23.4869,44.8203, 614 Km
Egypt,27.6400,29.1831,404km
Algeria,33.7770,3.2066,417 Km
Kuwait ,29.4362,47.6939,70 Km
Oman,22.3167,57.6578,214 Km
Jordan ,31.4168,36.2754,82 Km
Lebanon ,33.8149,35.6607,29.93 Km
