,ids
0,1363479986515116033
1,1363409881190039552
2,1363210614596907009
3,1363198488872419339
4,1363163875705823232
5,1363063652744626178
6,1363062912865165318
7,1363061775692935171
8,1363036670900199432
9,1363012634098958338
10,1363001605474447362
11,1363000719733833731
12,1363000326891196421
13,1362913828426686471
14,1362913153655468032
15,1362912316300394496
16,1362900154500669440
17,1362897237664268296
18,1362799703428104196
19,1362782022884872194
20,1362754767261470720
21,1362727750222643203
22,1362721455537029126
23,1362711805487951875
24,1362707659720384513
25,1362705552464314371
26,1362697810328621056
27,1362483630258475017
28,1362477318548168704
29,1362337078000955393
30,1362248335344697349
31,1362171457682440197
32,1362170458418933761
33,1362169582409162754
34,1362165597723914247
35,1362162534254579714
36,1362134398720749577
37,1362094693610217472
38,1362094158752718849
39,1362093360828342272
40,1362053693739311108
41,1362049498416111617
42,1362026665199681537
43,1362001300444098561
44,1361994089034571776
45,1361968401883811841
46,1361949561007329283
47,1361909040754937856
48,1361797898103586817
49,1361796913855684608
50,1361725429229445122
51,1361390251546210310
52,1361333970135318531
53,1361301910402314240
54,1361251724732887041
55,1361248255665991682
56,1361078637005598720
57,1361036097195802626
58,1361017827428343809
59,1363755911278440448
60,1363752790070296576
61,1363751538410348545
62,1363751458634620928
63,1363750827739996160
64,1363749642270310400
65,1363748696555454465
66,1363747157937946624
67,1363746604868640769
68,1363746575311396867
69,1363746389155577857
70,1363746321157541889
71,1363745889119072256
72,1363743692616564743
73,1363742863633362946
74,1363741731657838595
75,1363741253637136384
76,1363741245949042689
77,1363739265952325632
78,1363737655981338626
79,1363734421271171074
80,1363733418807328771
81,1363733231460352000
82,1363733092519837696
83,1363732929093001216
84,1363732252249702401
85,1363730606341898240
86,1363730034582773761
87,1363729252433207299
88,1363728537878994945
89,1363728381221699585
90,1363728017638449153
91,1363727876382732288
92,1363727010590306304
93,1363726653734723591
94,1363726503591215105
95,1363726041295036417
96,1363725579753820163
97,1363725525718564864
98,1363723815071612928
99,1363722715467808768
100,1363722704436797440
101,1363722524316610565
102,1363721995192516609
103,1363721245569806338
104,1363720838516727808
105,1363720763778478081
106,1363720760150360066
107,1363719826502483970
108,1363719071188017153
109,1363719038577311744
110,1363718919052283906
111,1363718659680706562
112,1363718460707131393
113,1363717542649413633
114,1363716798038880256
115,1363715238097526786
116,1363714572268548099
117,1363712836648722436
118,1363712534524624902
119,1363712355708854275
120,1363711269468069889
121,1363711260253179905
122,1363710141128925184
123,1363751902421397507
124,1363718441396486151
125,1363696620601278464
126,1363672090033991685
127,1363638031975129088
128,1363637270218219520
129,1363637128417210369
130,1363636893892677635
131,1363013313618210817
132,1362678248182861825
133,1362666961558192131
134,1363754556400799748
135,1363753508193902595
136,1363753423821275138
137,1363750189278912512
138,1363749379484622852
139,1363747350267760642
140,1363745380689727490
141,1363744599479623682
142,1363743338042691590
143,1363743335865872385
144,1363739410223796229
145,1363736318447149056
146,1363736249220104194
147,1363728839642402816
148,1363719826502483970
149,1363716798038880256
150,1363715697055068160
151,1363715490795970563
152,1363715451306577921
153,1363713541329588225
154,1363713163234058241
155,1363710477642199040
156,1363709313433370624
157,1363703381295067136
158,1363703057423491074
159,1363697438813528064
160,1363695972979736576
161,1363694266015506438
162,1363691791296442369
163,1363691782509375493
164,1363688222669348865
165,1363686693166075913
166,1363685930008276992
167,1363684955805667328
168,1363684735252316161
169,1363684702020845570
170,1363684344674594816
171,1363683564206907395
172,1363681735100268544
173,1363678377144709120
174,1363677313796345862
175,1363676346501709824
176,1363675555334389762
177,1363674295952637955
178,1363670594131214340
179,1363668562548830208
180,1363668478243328001
181,1363666007064248323
182,1363665535146340357
183,1363664719530319874
184,1363663651727638533
185,1363663581364047872
186,1363662927748861952
187,1363659695639179265
188,1363659194256285696
189,1363657565855440900
190,1363657459290767361
191,1363657026581241862
192,1363656562397634565
193,1363653315444281346
194,1363653245479043074
195,1363652496330285059
196,1363651565526089732
197,1363651352203849728
198,1363650870378905603
199,1363648358800367622
200,1363647116556595202
201,1363644409368240130
202,1363643587137859587
203,1363642441077829633
204,1363642278993137664
205,1363642021278347264
206,1363641552468344832
207,1363638523430068229
208,1363636665638617093
209,1363634421103030274
210,1363634414786400270
211,1363633820835192834
212,1363633252284555266
213,1363633208454238208
214,1363631482670055425
215,1363631221964693507
216,1363630920310403072
217,1363630847862136837
218,1363629882815770632
219,1363629794118819840
220,1363628489698664449
221,1363628225348403202
222,1363626503364358144
223,1363626145309208581
224,1363625416775389184
225,1363625124637900803
226,1363624271646490624
227,1363623486611144709
228,1363622357370368007
229,1363622033112858624
230,1363620651546861570
231,1363620122481594369
232,1363619476328099843
233,1363618032329850886
234,1363617690603159553
235,1363617217515053056
236,1363616601296302083
237,1363616444257296389
238,1363616067264864256
239,1363615109814312960
240,1363614891081428994
241,1363614828175249409
242,1363614815336476672
243,1363613193113923586
244,1363612968831844352
245,1363612786039865348
246,1363612397836075010
247,1363611507406360577
248,1363611415811133443
249,1363611336379367427
250,1363610890201923590
251,1363610836166672386
252,1363610653525688331
253,1363610631010664451
254,1363610107272126464
255,1363609865369899011
256,1363609576487219216
257,1363609450230218756
258,1363609279329099787
259,1363609102333714440
260,1363608623788785665
261,1363608595754082306
262,1363607741886038017
263,1363607739025530883
264,1363606928421773312
265,1363606862986440705
266,1363606769658920965
267,1363606357249843200
268,1363606215679426563
269,1363606155692498958
270,1363606024964476936
271,1363605948158390273
272,1363605535975763973
273,1363605227195277313
274,1363604477236940806
275,1363603981931606016
276,1363603734694158340
277,1363603606935592967
278,1363603469257555974
279,1363603427561996288
280,1363603266836324355
281,1363602713842503687
282,1363602309004091393
283,1363602081563688964
284,1363601773525667844
285,1363601541748391937
286,1363601402573037575
287,1363601341617238023
288,1363601161689985027
289,1363601107382116358
290,1363601076340088837
291,1363600950628413440
292,1363600934627139591
293,1363600933331095552
294,1363600799822213124
295,1363600661523365888
296,1363600595677044740
297,1363600491444383748
298,1363600450067529733
299,1363600323047227393
300,1363599864630755329
301,1363599609759694850
302,1363599577513869318
303,1363599396173193220
304,1363599368025239552
305,1363599162831482883
306,1363599062839222272
307,1363598091375501313
308,1363597808314548228
309,1363596770291290112
310,1363596673822433280
311,1363596662636240898
312,1363596125597552643
313,1363594020421795843
314,1363593985370058756
315,1363592745458229248
316,1363588211986022403
317,1363587225091514368
318,1363581587586232326
319,1363581164548747268
320,1363580311028834305
321,1363580221279117313
322,1363579494565613571
323,1363575332465479684
324,1363574812782850052
325,1363573411369398275
326,1363572252193783813
327,1363571618811936775
328,1363570784875200518
329,1363570484231700489
330,1363569961545957378
331,1363569569663750144
332,1363569021107523587
333,1363567188699996160
334,1363566671567421444
335,1363566414485929984
336,1363566017574756354
337,1363564404437094408
338,1363560775386877952
339,1363560424449462275
340,1363557741768413184
341,1363556533884379140
342,1363555421437460480
343,1363550017194250242
344,1363549378401689600
345,1363547342427869185
346,1363542719243710470
