,ids
0,1358155020575907845
1,1357807412443496451
2,1357800379791138824
3,1357593807508938754
4,1357478295026216960
5,1357431083260928001
6,1357393847567925249
7,1357352813756620800
8,1357258221136859136
9,1357239141864529920
10,1357093261597413377
11,1357089819143393283
12,1357008353478729731
13,1356993133184172034
14,1356928061841760258
15,1356893199139233792
16,1356892620086276097
17,1356891529927876608
18,1356831470862663680
19,1356829269264072705
20,1356799031901622276
21,1356759269576765441
22,1356700241156841485
23,1356699606315397125
24,1356698721677955072
25,1356651361241358337
26,1356636752342097921
27,1356597205533138948
28,1356597058237591555
29,1356341672666398720
30,1356330837407649792
31,1356324851741577216
32,1356324142606376962
33,1356323622516895745
34,1356321288281874433
35,1356189641230180354
36,1355574863143043074
37,1355574620955545600
38,1355541045145198595
39,1355540800243970055
40,1358379515563630593
41,1358377536678481920
42,1358376021507121170
43,1358367673185431554
44,1358349482916675584
45,1358335809427038209
46,1358322099111288832
47,1358318103986331648
48,1358318050169266178
49,1358317989595070464
50,1358178336363728903
51,1358120709067792387
52,1358119173520556032
53,1358381756609667075
54,1358381652586733568
55,1358381537046253568
56,1358381452065468420
57,1358381296674873344
58,1358381097789370368
59,1358380472502538241
60,1358380245523587072
61,1358380191383506948
62,1358379919097618432
63,1358379228572512263
64,1358378757015412738
65,1358378575410450436
66,1358378192957038592
67,1358376918614163457
68,1358376855754203148
69,1358375795283144707
70,1358375554496495616
71,1358375423189651473
72,1358375387525488641
73,1358375176233230337
74,1358375173586644994
75,1358375076643692546
76,1358374948830670850
77,1358374902944976896
78,1358372476783362048
79,1358371912888569860
80,1358371242923991040
81,1358370055361331206
82,1358369294686564356
83,1358369174444265472
84,1358368697157582853
85,1358368694288740354
86,1358368580866293760
87,1358368396627345408
88,1358367989893111810
89,1358367853611737089
90,1358367678545690631
91,1358367664423469056
92,1358367650842357766
93,1358367636271284224
94,1358367622337859585
95,1358367611126431745
96,1358366869347008512
97,1358366191413264392
98,1358366102947045378
99,1358366046630129666
100,1358365915121922048
101,1358365389848276996
102,1358365089477390336
103,1358360924390883328
104,1358359850904915979
105,1358359030113177603
106,1358358177427951616
107,1358358065251291138
108,1358355449666564098
109,1358354954075963392
110,1358354620364566528
111,1358354611363590144
112,1358354194227421186
113,1358354071841878017
114,1358353820510793728
115,1358353460631138306
116,1358353270314532864
117,1358352879069847554
118,1358351850081296385
119,1358351558732369920
120,1358350631862468608
121,1358350535548674050
122,1358350455802331136
123,1358349921120845826
124,1358349555595624448
125,1358349471516655618
126,1358349424020377601
127,1358348265691963398
128,1358345617517510657
129,1358344751435628546
130,1358344653704212480
131,1358344642069106690
132,1358343376110780418
133,1358343319701643265
134,1358343138310504449
135,1358343077862268930
136,1358342403078430725
137,1358341677665177601
138,1358341265054720000
139,1358340977908416513
140,1358339131433226242
141,1358338606742597632
142,1358338516875415558
143,1358338182950051841
144,1358337047082237952
145,1358336722245926913
146,1358336113300152325
147,1358336075517804550
148,1358335837268815872
149,1358335623912898561
150,1358335132642537479
151,1358334856569192449
152,1358334662771429377
153,1358333703492141062
154,1358333182865788928
155,1358333005136338946
156,1358331711340359680
157,1358331583095259145
158,1358330699569315845
159,1358330555855691777
160,1358330108197695499
161,1358329637303156736
162,1358328942315339777
163,1358328035246759937
164,1358327538519523331
165,1358326775558922243
166,1358325881530421248
167,1358325197942702080
168,1358323981795876864
169,1358321608289628165
170,1358320052836171779
171,1358318329820250112
172,1358316238502567938
173,1358314970241507333
174,1358314228755660805
175,1358311784063598595
176,1358308066102566912
177,1358305659536703488
178,1358305337108025347
179,1358302461476356098
180,1358301717784190979
181,1358296181491699713
182,1358290896522006528
183,1358289386735996929
184,1358289386576650240
185,1358289386538901504
186,1358284353416101889
187,1358284353357381632
188,1358284353340645379
189,1358274287203831809
190,1358274287149277186
191,1358274287061192711
192,1358269254030659585
193,1358269254022426624
194,1358269253896478725
195,1358208767599468545
196,1358190342357590017
197,1358186963338227713
198,1358182578205908995
199,1358180776064540672
200,1358169132177448966
201,1358168975977426944
202,1358168855286337537
203,1358168552201682947
204,1358163801921753089
205,1358153704671764481
206,1358150974783840260
207,1358147199662718979
208,1358145438105260037
209,1358143429197275137
210,1358140703604428801
211,1358135897670221826
212,1358134113077661698
213,1358133202850840578
214,1358131422087766018
215,1358130449135132676
216,1358129494561800194
217,1358125057810313217
218,1358124550517448704
219,1358123485109837826
220,1358121268264976393
221,1358121062555385865
222,1358120709067792387
223,1358120375717134336
224,1358120195303362565
225,1358119193951019010
226,1358114047540015105
227,1358112862988869636
228,1358109616400437250
229,1358109571064160258
230,1358103408742457348
231,1358098680545488900
232,1358098130483503107
233,1358095892415467520
234,1358095339669114886
235,1358093093514272769
236,1358092855407960069
237,1358091818592833537
238,1358088963723046914
239,1358088703143477248
240,1358086485493309440
241,1358086297043238914
242,1358085283233886209
243,1358078927177138178
244,1358075877083463680
245,1358074921847578629
246,1358073091994361856
247,1358072746488582144
248,1358067873500045312
249,1358066536699805696
250,1358065440396873729
251,1358057048932499460
252,1358054547793604611
253,1358053559292620801
254,1358051755074928640
255,1358051263624196100
256,1358050528199081985
257,1358050511849684993
258,1358048770685034499
259,1358046734493110272
260,1358046198259662848
261,1358045951076798469
262,1358045556543741953
263,1358044305722597381
264,1358043671757807622
265,1358043256160980992
266,1358042191311097862
267,1358041207306338313
268,1358041174888624128
269,1358040409365184515
270,1358040036554473472
271,1358038738367115267
272,1358038450683973632
273,1358038175638310912
274,1358037934994305025
275,1358037476871389190
276,1358035617251291141
277,1358035613727997957
278,1358034984867667968
279,1358034399305080837
280,1358034089648021504
281,1358032926747852807
282,1358031739399122944
283,1358031208156905472
284,1358030869668257797
285,1358030284759977985
286,1358029662329397248
287,1358029575859695619
288,1358029085507739658
289,1358028923314053121
290,1358028726064328706
291,1358028249457192960
292,1358028027154817024
293,1358027334369095687
294,1358027292153413633
295,1358026638244593667
296,1358026521659777040
297,1358026444685869057
298,1358026201139445761
299,1358021715520069634
300,1358021008943427585
301,1358020586396655616
302,1358019213517090816
303,1358018976899608576
304,1358017426122760192
305,1358017154449342465
306,1358016333384978433
307,1358015835407851520
308,1358014117613813766
309,1358013949623549954
310,1358013109621968899
311,1358011325524414466
312,1358010271449645057
313,1358008695964258305
314,1358007567285420032
315,1358005339472412681
316,1358005173466103809
317,1358005061583003648
318,1358005012744396802
319,1358004602826854400
320,1358003350315401216
321,1358002030401445894
322,1358001238206521348
323,1358001217100726277
324,1358000954302414848
325,1358000490966102016
326,1357999175254867968
327,1357998721397526535
328,1357998270006575111
329,1357997835275370496
330,1357996840524857344
331,1357994059974012928
332,1357992982780198912
333,1357992432516927489
334,1357991371173421057
335,1357988952028946433
336,1357987841884770304
337,1357985693436420096
338,1357984880093777920
339,1357982522081173510
340,1357977336835112963
341,1357969781534695428
342,1357966391450750977
343,1357962234790633475
344,1357960080738684930
345,1357956211468025857
346,1357954682195378176
347,1357951929985433600
348,1357948266688700417
349,1357947133970767872
350,1357939581744631809
351,1357920707217416193
352,1357908197445615619
353,1357862217501270023
354,1357858783402278912
355,1357835974001233926
356,1357817559484137473
357,1357806870329712640
358,1357800673870548994
359,1357798133082836993
