,ids
0,1330103984506417152
1,1330102299809734656
2,1330098270065074185
3,1330098043539099652
4,1330096404673523719
5,1330095755357458433
6,1330094987669811201
7,1330093261340422144
8,1330092437063282689
9,1330088016392622083
10,1330086658549669890
11,1330086446481498113
12,1330085708388835328
13,1330084866436771843
14,1330083332919619589
15,1330079551007895552
16,1330078510082379776
17,1330071262320881675
18,1330070974268628992
19,1330069392256868353
20,1330068104882380802
21,1330067917422137344
22,1330066995421851649
23,1330065835973632000
24,1330064945220825089
25,1330064027104522240
26,1330062108319473666
27,1330061931529564161
28,1330059829591805954
29,1330058504305061889
30,1330056511301820419
31,1330051178030379013
32,1330049814864785408
33,1330049460068642819
34,1330047428263882752
35,1330046098984079361
36,1330041666355539971
37,1330041662333210624
38,1330040465832488963
39,1330039471950213121
40,1330038064199180289
41,1330037088729919493
42,1330035521016504327
43,1330027496406913025
44,1330024652509425664
45,1330024524444741632
46,1330000666530631680
47,1329991919863205891
48,1329987141619888129
49,1329975904991383552
50,1329966937766551554
51,1329966130082033664
52,1329963590409973760
53,1329962560435724289
54,1329959883060502529
55,1329958764267655174
56,1329957319229247495
57,1329955515942776832
58,1329947712696045568
59,1329946962251100162
60,1329946807288406018
61,1329945665556852736
62,1329939925815455744
63,1329939649939333123
64,1329939389359730691
65,1329936276481601538
66,1329935971828310016
67,1329935324055818241
68,1329935267382300674
69,1329934951849095169
70,1329933715556986882
71,1329931928364068864
72,1329931112508952577
73,1329930677375148037
74,1329930315549319168
75,1329925214059319300
76,1329922562600656897
77,1329920687914569729
78,1329918132115435523
79,1329918100708487168
80,1329917377677496320
81,1329916020505665538
82,1329915730075279360
83,1329914709211033601
84,1329912748042579968
85,1329912621089349635
86,1329912148735258625
87,1329902698473398272
88,1329901429943898117
89,1329901368748937217
90,1329900065515835392
91,1329897204912451585
92,1329896243305340931
93,1329895691624341504
94,1329891256508551169
95,1329887330967162880
96,1329887039299391488
97,1329886168746438657
98,1329884448242982915
99,1329884409894494209
100,1329882715047538690
101,1329882520347942912
102,1329882416895451138
103,1329882096572243969
104,1329881085208092675
105,1329879448624238592
106,1329878144799682565
107,1329873738469421057
108,1329870630603329539
109,1329870002284015619
110,1329869399633833986
111,1329869273003593729
112,1329869104526790662
113,1329869085769928707
114,1329867380806332423
115,1329867274459762689
116,1329865719660548096
117,1329865150892040194
118,1329864923707564034
119,1329864773081640961
120,1329861883327901698
121,1329857934864625666
122,1329856082819342342
123,1329855607831228416
124,1329854757922611200
125,1329854524782243846
126,1329853273130545153
127,1329852406620954625
128,1329851870505017350
129,1329849136896729090
130,1329848796134707201
131,1329846260258512897
132,1329844569735827457
133,1329843809543450628
134,1329842864013144070
135,1329841476172476416
136,1329839909675429889
137,1329839296971501568
