,ids
0,1317106616316137473
1,1317105587411443713
2,1317105139577139200
3,1317099040081850368
4,1317083485954281474
5,1317083026103422977
6,1317082114710556672
7,1317081082060247040
8,1317075922265178112
9,1317072273715744768
10,1317071580481130498
11,1317068838303879170
12,1317067379076222976
13,1317064465532190725
14,1317057376193777664
15,1317054058037903365
16,1317047312275955712
17,1317042906994216961
18,1317042280683929601
19,1317041264987115520
20,1317036434122018816
21,1317013093784965120
22,1317011871057301504
23,1317011323973210112
24,1316969295281332226
25,1316853995630211073
26,1316847619361198080
27,1316845383352545280
28,1316831236854292480
29,1316818227104804864
30,1316801689744277506
31,1316797975977496577
32,1316795688966070281
33,1316793615662952449
34,1316792876983033861
35,1316792360710397952
36,1316786707627487232
37,1316785420445851649
38,1316780839011864578
39,1316777299107352576
40,1316771217949421568
41,1316770625432809472
42,1316770524857544710
43,1316770217897451524
44,1316770170820493314
45,1316760788686831617
46,1316760583124004864
47,1316749774209585157
48,1316746778553835521
49,1316745913222733824
50,1316745529141977091
51,1316743307750510592
52,1316741717366902788
53,1316720435686453248
54,1316719333628874752
55,1316718821667991557
56,1316717867212177409
57,1316715047637393414
58,1316713094190706690
59,1316711201494228992
60,1316707160424951813
61,1316693582514974720
62,1316686626786029568
63,1316686010286178306
64,1316664727733493765
65,1316658076645232640
66,1316654972839354368
67,1316645773069737984
68,1316644413037305856
69,1316644304056705024
70,1316643671903801345
71,1316639371597094914
72,1316619910945046533
73,1316610192444928001
74,1316599007695831042
75,1316564275129995264
76,1316563709964308493
77,1316563519979098117
78,1316563323450806277
79,1316512777666736128
80,1316504651714506752
81,1316496093878906881
82,1316484240842907650
83,1316474530676846592
84,1316462517040877571
85,1316458332656414721
86,1316450098071719937
87,1316448478667722754
88,1316440373355524104
89,1316434822886240256
90,1316424074197950472
91,1316413565776154624
92,1316393146234875904
93,1316368833381371904
94,1316362096679030784
95,1316360577229430784
96,1316360123204370432
97,1316359363221753856
98,1316351454848987136
99,1316342413674393602
100,1316328595883798528
101,1316325228084109312
102,1316324807718375428
103,1316322953915662337
104,1316320975307313153
105,1316317242175430656
106,1316312813279772672
107,1316254529323704320
108,1316250770141073414
109,1316249844059639809
110,1316219636631961600
111,1316173210803675136
112,1316137064128274432
113,1316131956011274240
114,1316129913284460546
115,1316115748067184641
116,1316109274179870720
117,1316108925792649224
118,1316102772597682178
119,1316101303605571585
120,1316096709609615360
121,1316087101453074432
122,1316084980590743552
123,1316083390270103553
124,1316074484814811136
125,1316069025760374784
126,1316061011103879169
127,1316060113967501314
128,1316058613937569795
129,1316054905526931456
130,1316052924443828226
131,1316051307548094468
132,1316050700426784768
133,1316049374754025472
134,1316032012591992832
135,1316014503121711106
136,1316012894400569346
137,1316005428204048384
138,1316004127638462464
139,1316002511250239488
140,1316001845203152898
141,1316001668396441600
142,1315999762924134402
143,1315999554374971394
144,1315977854870523905
145,1315977166069395458
146,1315975420446232576
147,1315972202957856768
148,1315952044440784898
149,1315947337399726081
150,1315946592592166912
151,1315946413537230848
152,1315921948220817411
153,1315915321837080576
154,1315914232370794497
155,1315901719197425665
156,1315900568863416322
157,1315899848722350082
158,1315894480810192896
159,1315859197221900288
160,1315833792259653633
161,1315808121206566913
162,1315797537874419712
163,1315778780762451968
164,1315774545652002817
165,1315763329944690693
166,1315756333862457344
167,1315752853202501632
168,1315747791285739526
169,1315743555944689667
170,1315741192722821120
171,1315739446915063810
172,1315736476026572804
173,1315733843555516417
174,1315727007561416705
175,1315719336540151809
176,1315700505205788674
177,1315695085305163776
178,1315690586125537280
179,1315686451259080705
180,1315684854353350657
181,1315676065516474369
182,1315673565589639168
183,1315668873241333762
184,1315668517719543809
185,1315664538545590273
186,1315664104854560768
187,1315662430270353410
188,1315653455768358912
189,1315639541865369602
190,1315633650155884544
191,1315627603869478913
192,1315624943443488774
193,1315622146958331904
194,1315621785275109376
195,1315620200906141697
196,1315605836182495232
197,1315604535851843584
198,1315603358384873472
199,1315603301141016578
200,1315603261706178560
201,1315602475240640518
202,1315601081402040320
203,1315598747791962112
204,1315597841847521282
205,1315597310898974720
206,1315597146230489095
207,1315596487376752640
208,1315595358521700352
209,1315589470813642752
210,1315581914842042368
211,1315581906235293696
212,1315581673061392384
213,1315580719536787457
214,1315580673110028288
215,1315549656420671488
216,1315546959034359809
217,1315545872034340865
218,1315545310882672640
219,1315543394601570305
220,1315534031539392512
221,1315509704844554240
222,1315505998224920576
223,1315502815696113664
224,1315498518598082560
225,1315497711584579584
226,1315489064351490048
227,1315463541718159360
228,1315443517578194944
229,1315428246264188931
230,1315416872091820033
231,1315416583204933633
232,1315413688837382144
233,1315405670297018369
234,1315403616354787328
235,1315401422876405761
236,1315400688101453829
237,1315395629552742402
238,1315393676609232896
239,1315393296068468739
240,1315392787546886145
241,1315392748275593227
242,1315392374433099776
243,1315392187094491137
244,1315392056303517703
245,1315391284790652928
246,1315389494766571521
247,1315387873286332416
248,1315387553906937859
249,1315387530813071360
250,1315387015970648067
251,1315385529928683521
252,1315385340199407618
253,1315385172532039681
254,1315385166915866629
255,1315384566903906305
256,1315384498473893888
257,1315384330584285184
258,1315383695835095041
259,1315383557989298177
260,1315383452892618753
261,1315383331056427011
262,1315383159438159873
263,1315380155033026571
264,1315370676270882822
265,1315369479883366400
266,1315355571193864192
267,1315353811922358273
268,1315340370243444736
269,1315337829279465473
270,1315316131117363202
271,1315313604250554368
272,1315306427947384834
273,1315306135281446912
274,1315305583030001670
275,1315305330897825792
276,1315302646086094849
277,1315295194586243072
278,1315292980048285696
279,1315273118815006721
280,1315272493142286336
281,1315267225197203458
282,1315261780592144384
283,1315255436719861760
284,1315253265634930689
285,1315252651605594112
286,1315244801076457472
287,1315244356375384071
288,1315236547122266113
289,1315220814191562752
290,1315191001363947521
291,1315190550165942273
292,1315180272015507457
293,1315172290745655299
294,1315171295945011200
295,1315170892146774017
296,1315170233360035840
297,1315169011060084737
298,1315130656855388160
299,1315129805675921410
300,1315129153579102208
301,1315128650359091205
302,1315115749040627712
303,1315086727120326657
304,1315025085317644289
305,1315020107584864256
306,1315017478767075331
307,1314981537369198595
308,1314980146076676098
309,1314945265812541442
310,1314935418631204865
311,1314927972969861123
312,1314916070264844293
313,1314914922212532226
314,1314914435132207104
315,1314914127622610945
316,1314904349659758596
317,1314903540213649408
318,1314875495201341442
319,1314867948960481280
320,1314854930377781250
321,1314796388551659522
322,1314794213788332032
323,1314793685901627392
324,1314774540015349760
325,1314711902484860930
326,1314709854435586056
327,1314684999292026882
328,1314665345718923265
329,1314665151690399750
330,1314664464155848716
331,1314659401962319872
332,1314639736301125636
333,1314623548611276801
334,1314622539616972801
335,1314622393269321735
336,1314620195680509954
337,1314618622178979840
338,1314613622904180737
339,1314612633681702912
340,1314611987532349445
341,1314606292129001473
342,1314597356298477569
343,1314589973560070144
344,1314589516049641473
345,1314575961233424388
346,1314575278920945670
347,1314570723520851968
348,1314567564492713984
349,1314567472675196934
350,1314567020562845697
351,1314547323469549574
352,1314545199746486275
353,1314544776784601093
354,1314544758841372672
355,1314544741904789504
356,1314544722652925955
357,1314544518734262273
358,1314544495623634946
359,1314544234473627648
360,1314544162851741697
361,1314544108267077633
362,1314544051643916294
363,1314543986825220099
364,1314543850288041985
365,1314542972772462593
366,1314541995315126275
367,1314539480074932230
368,1314535868229615621
369,1314534780432678913
370,1314533842062118913
371,1314533435189473285
372,1314530101535612929
373,1314526852602626050
374,1314525661596471297
375,1314517154969063428
376,1314514046117437440
377,1314500105140088832
378,1314498097989419010
379,1314497321183346688
380,1314496885688881153
381,1314488884630360064
382,1314453370913067008
383,1314452929227743232
384,1314452463894827015
385,1314436074542956544
386,1314425999006806025
387,1314420819184046081
388,1314419463396167681
389,1314418942539169795
390,1314406571892518912
391,1314387240014024708
392,1314385652969091073
393,1314368120631578625
394,1314352824843751424
395,1314347361804615683
396,1314347055981244417
397,1314339766461177856
398,1314337466653040646
399,1314331651984568321
400,1314329912170426368
401,1314327315485253633
402,1314323797776850944
403,1314302578478510086
404,1314293628299247617
405,1314293486695391233
406,1314291477795745792
407,1314286363441795080
408,1314282877505470464
409,1314275918332952577
410,1314275214725910535
411,1314272096709640192
412,1314266379281981440
413,1314265388146995200
414,1314261054566936576
415,1314260242834874369
416,1314257714063847424
417,1314252340862636034
418,1314250725954854912
419,1314236319074340864
420,1314235689047937024
421,1314235251124842498
422,1314224988648546305
423,1314222314016452608
424,1314222282563297280
425,1314222231979986944
426,1314202580721967104
427,1314195956720496643
428,1314194977073762304
429,1314190402803695618
430,1314190326123442176
431,1314189424088023040
432,1314182678497972230
433,1314179678849118209
434,1314178241528320001
435,1314172821120180224
436,1314169112470446080
437,1314161473707540480
438,1314161306140893186
439,1314157797882425345
440,1314153615666417665
441,1314153038228213760
442,1314150647319666688
443,1314150494739329024
444,1314149778343841793
445,1314149470100217856
446,1314149209516449799
447,1314144289543393285
448,1314139175139115009
449,1314139041198211074
450,1314135464945872896
451,1314134929954009088
452,1314128243415547905
453,1314127388750553090
454,1314127159326322688
455,1314122455275974656
456,1314115631646728194
457,1314114735588114432
458,1314114627186364421
459,1314113753701650437
460,1314111617035120640
461,1317122939825852417
462,1317122939561648128
463,1317122830161555456
464,1317122802529566730
465,1317122781352464384
466,1317122779536384001
467,1317122751174410245
468,1317122750838902786
469,1317122699508973568
470,1317122694882742279
471,1317122687630774273
472,1317122599076364288
473,1317122457678086146
474,1317122444470136836
475,1317122439298666496
476,1317122416661925890
477,1317122313603645441
478,1317122288899207168
479,1317122175686639616
480,1317122106111500290
481,1317121986129166342
482,1317121967489732608
483,1317121962402058247
484,1317121920161165314
485,1317121916952600576
486,1317121677445242881
487,1317121603159924736
488,1317121566023569408
489,1317121376189284356
490,1317121338407112704
491,1317121331230539776
492,1317121299169333248
493,1317121271675715584
494,1317121256362299393
495,1317121247898206208
496,1317121226154926080
497,1317121222115721216
498,1317121031459524610
499,1317120843663790083
500,1317120835937763331
501,1317120708389076992
502,1317120686637318145
503,1317120601388158984
504,1317120477966569472
505,1317120462145683460
506,1317120451706081281
507,1317120424073986051
508,1317120397901500417
509,1317120336584970240
510,1317120270507872259
511,1317120246663290881
512,1317120226698383361
513,1317120164861743104
514,1317120019772411907
515,1317120009748045824
516,1317119979590979584
517,1317119945923284993
518,1317119903350939648
519,1317119891598725122
520,1317119820194811906
521,1317119813718806531
522,1317119782475485184
523,1317119711642062848
524,1317119709708505090
525,1317119675369742336
526,1317119654507274243
527,1317119637935562752
528,1317119634169004032
529,1317119591504633856
530,1317119519245164550
531,1317119471182630912
532,1317119402886762497
533,1317119401758478339
534,1317119381525221385
535,1317119377762881537
536,1317119341238734849
537,1317119304509292545
538,1317119296665956357
539,1317119285957984264
540,1317119278265606144
541,1317119265464569856
542,1317119241670348800
543,1317119234435055616
544,1317119228563042306
545,1317119224419155975
546,1317119224163278849
547,1317119221864824833
548,1317119220119965699
549,1317119197466529792
550,1317119181041655811
551,1317119163756851201
552,1317119161567510530
553,1317119148808351746
554,1317119100401950720
555,1317119096509632513
556,1317119096450916353
557,1317119082928525312
558,1317119082693644288
559,1317119062648946689
560,1317119024652759041
561,1317118978758791171
562,1317118975797579776
563,1317118969149534215
564,1317118965223723009
565,1317118956835135489
566,1317118907774357504
567,1317118871745200129
568,1317118852204056582
569,1317118836580225024
570,1317118812152541187
571,1317118806528057346
572,1317118802996363264
573,1317118788966428674
574,1317118783610290176
575,1317118724424503296
576,1317118705638264841
577,1317118673589538816
578,1317118672570298372
579,1317118656438992897
580,1317118636037967872
