,ids
0,1311295160534343682
1,1310617110368915456
2,1313056598340837382
3,1313056334267461633
4,1313055192745684992
5,1313053878343135232
6,1313053841601036290
7,1313052894535524352
8,1313050594681159681
9,1313048776756596736
10,1313048739318321153
11,1313048684397916162
12,1313047005405511681
13,1313045844787187712
14,1313043057978245121
15,1313041517246910464
16,1313041114677551104
17,1313040402459570176
18,1313040400224079873
19,1313040308209360896
20,1313037959357181957
21,1313037516572942336
22,1313036127402680320
23,1313035783268257792
24,1313035359668797440
25,1313033892136448000
26,1313030898162556928
27,1313029234219155457
28,1313028794886885376
29,1313027157535404032
30,1313026955936247809
31,1313025427515076608
32,1313024031738802176
33,1313023706734759937
34,1313022513992081408
35,1313019768971112449
36,1313019680018358272
37,1313019569796190209
38,1313016777719394305
39,1313015993350778880
40,1313015229945700353
41,1313014766164750336
42,1313014291189112833
43,1313012982977368065
44,1313012623882047489
45,1313012426921709569
46,1313011708567281664
47,1313011476106543106
48,1313011143175147521
49,1313009030776979457
50,1313005819160559616
51,1313002041686585344
52,1313001797892689925
53,1313000523579060224
54,1312999728368562182
55,1312998163469479936
56,1312994651092267008
57,1312993358407663618
58,1312991766228934656
59,1312990354271088640
60,1312989082671251456
61,1312987633178406912
62,1312983357723160576
63,1312980194819407872
64,1312976278409150464
65,1312976066751979521
66,1312975177316282369
67,1312964756215660544
68,1312961066880716802
69,1312959032131571713
70,1312952947786088448
71,1312895596450246656
72,1312894539959590912
73,1312865301894098944
74,1312859176524226562
75,1312859064565628933
76,1312790353037209600
77,1313033629593935873
78,1313033314647846914
79,1313026955936247809
80,1313026146255147009
81,1313017327307325440
82,1313016075542503424
83,1313014766164750336
84,1313014088226742272
85,1313013826405781504
86,1313011177560125441
87,1313006185377923077
88,1313004483815841794
89,1313004396922445824
90,1313003819484225536
91,1313003298744606720
92,1313000490309877761
93,1312997764763185153
94,1312995308478042112
95,1312993360886497282
96,1312993123811950594
97,1312991809639985153
98,1312991358358032384
99,1312989640585105408
100,1312988590473990144
101,1312987970421620736
102,1312987456258613248
103,1312984659198869509
104,1312983326488170496
105,1312982651238838272
106,1312982586709422086
107,1312982372888072194
108,1312981985418186752
109,1312981288547241985
110,1312980671930007552
111,1312978007490002945
112,1312976090458189825
113,1312976066751979521
114,1312975380710645760
115,1312974926077362176
116,1312974656358547456
117,1312974503954259968
118,1312973349606354944
119,1312973328416739334
120,1312973258631852032
121,1312973077551120385
122,1312971770685804546
123,1312970918637993986
124,1312968821720875008
125,1312965297603858432
126,1312964906103320576
127,1312963550097403904
128,1312961507324555264
129,1312960832763056129
130,1312959032131571713
131,1312956666804043776
132,1312955954380578816
133,1312955495108489216
134,1312955388241817600
135,1312955344470126606
136,1312955138009632768
137,1312953524087672834
138,1312953330189119490
139,1312952213967384577
140,1312950761396088835
141,1312949652128509952
142,1312949622084694016
143,1312947960293011456
144,1312947783377223680
145,1312946139549896705
146,1312941777637257217
147,1312940949975322628
148,1312940517970370562
149,1312939125104930816
150,1312938092018495495
151,1312936710905438208
152,1312936108976726016
153,1312931562653089792
154,1312931177448210432
155,1312921378341949442
156,1312658055025352704
157,1312658000629379072
158,1312651110889521152
159,1312649332965998596
160,1312645208832704515
161,1312622157332176897
162,1312607462655062016
163,1312583840423182338
164,1312238341438550016
165,1312231227055910913
166,1312217637607411712
167,1311899091861897216
168,1311898764588789761
169,1311897856832344071
170,1311894584423780353
171,1311891529137610753
172,1311834041503580165
173,1311486342170324994
174,1311445505289797632
175,1311228504214777858
176,1311161485163401216
177,1311150875373645829
178,1311150822240194563
179,1311150091827281921
180,1311148329615732739
181,1311147535860367360
182,1311119583072452609
183,1311114639426674694
184,1311108927531163650
185,1311095662235262976
186,1311073200110014464
187,1310888324404568064
188,1310884314624798720
189,1310877966197575681
190,1310857674704252928
191,1310849253850243074
192,1310845208863666178
193,1310842551872651265
194,1310839005404114949
195,1310836658913316866
196,1310835577797988353
197,1310834788027301888
198,1310827548654350336
199,1310817952992813056
200,1310816072745070592
201,1310815376926621698
202,1310814992619450368
203,1310814557531770880
204,1310812156523425792
205,1310802813748994048
206,1310790259077251072
207,1310476804449337344
208,1310439429140512768
209,1310437438721064962
210,1310432445083389952
211,1310431804969693184
212,1310428953203572736
213,1310423095493054464
214,1310396323812835328
215,1310385248312713220
216,1310382367304015873
217,1310075175157800970
218,1310058195071664131
219,1310035796787945485
220,1310016795768762370
221,1313051853677043713
222,1313051698122960896
223,1313050107282104327
224,1313044283973197824
225,1313044143225081856
226,1313044017182056449
227,1313043436686266369
228,1313040402459570176
229,1313038144648830977
230,1313020423567749122
231,1313014327797075968
232,1313013457428467714
233,1313011738493825028
234,1313011238427930624
235,1313011201249619968
236,1313011165052710918
237,1313004009276477440
238,1313000766932688897
239,1312998683844251651
240,1312997100196696064
241,1312995171378884608
242,1312995164651167745
243,1312994724991598593
244,1312993123811950594
245,1312987344409157632
246,1312985692855771136
247,1312985232799338497
248,1312983170791464960
249,1312982839336546308
250,1312982066057879552
251,1312980802326736896
252,1312980357470355463
253,1312979756145467392
254,1312971287531266048
255,1312971248268447745
256,1312960882234855429
257,1312938963175432194
258,1312848106816495617
259,1313055671546449920
260,1313037637217857537
261,1313037402961842177
262,1312887437216157697
263,1312874619620265984
264,1312866330064941062
265,1312856666359164931
266,1312850743980769280
267,1312850017674235904
268,1312848948252606464
269,1312848596727930885
270,1312848243940823044
271,1312847906458816512
272,1312847870739927041
273,1312847861415993344
274,1312847843242250240
275,1312847743602360320
276,1312847556179832832
277,1312847311115083777
278,1312846417778614274
279,1312846350187257856
280,1312845924469792773
281,1312845732240666628
282,1312845643921186818
283,1312845639236177928
284,1312845632747560963
285,1312845423963525121
286,1312845256015204353
287,1312845146917019648
288,1312845128957132809
289,1312844926338637824
290,1312844799737765888
291,1312844690954297344
292,1312844473618100224
293,1312844301899096065
294,1312844288514875392
295,1312844248534970368
296,1312844065298415618
297,1312844056796553217
298,1312843987422674951
299,1312843870154248199
